Id,Dates,DayOfWeek,PdDistrict,Address,X,Y
0,5/10/2015 23:59,Sunday,BAYVIEW,2000 Block of THOMAS AV,-122.3995877,37.73505101
1,5/10/2015 23:51,Sunday,BAYVIEW,3RD ST / REVERE AV,-122.3915229,37.73243239
2,5/10/2015 23:50,Sunday,NORTHERN,2000 Block of GOUGH ST,-122.426002,37.79221244
3,5/10/2015 23:45,Sunday,INGLESIDE,4700 Block of MISSION ST,-122.437394,37.72141206
4,5/10/2015 23:45,Sunday,INGLESIDE,4700 Block of MISSION ST,-122.437394,37.72141206
5,5/10/2015 23:40,Sunday,TARAVAL,BROAD ST / CAPITOL AV,-122.4590236,37.7131719
6,5/10/2015 23:30,Sunday,INGLESIDE,100 Block of CHENERY ST,-122.4256165,37.73935051
7,5/10/2015 23:30,Sunday,INGLESIDE,200 Block of BANKS ST,-122.412652,37.73975016
8,5/10/2015 23:10,Sunday,MISSION,2900 Block of 16TH ST,-122.4187001,37.76516494
9,5/10/2015 23:10,Sunday,CENTRAL,TAYLOR ST / GREEN ST,-122.4139346,37.79888645
10,5/10/2015 23:00,Sunday,INGLESIDE,100 Block of PERALTA AV,-122.4086078,37.74678736
11,5/10/2015 23:00,Sunday,MISSION,600 Block of FLORIDA ST,-122.4110938,37.76104757
12,5/10/2015 23:00,Sunday,MISSION,600 Block of FLORIDA ST,-122.4110938,37.76104757
13,5/10/2015 23:00,Sunday,CENTRAL,200 Block of VALLEJO ST,-122.4021306,37.7993635
14,5/10/2015 23:00,Sunday,CENTRAL,JEFFERSON ST / HYDE ST,-122.4207475,37.80758774
15,5/10/2015 22:50,Sunday,TENDERLOIN,GOLDEN GATE AV / HYDE ST,-122.4155082,37.78165428
16,5/10/2015 22:36,Sunday,TARAVAL,1200 Block of OCEAN AV,-122.4556785,37.72370174
17,5/10/2015 22:00,Sunday,INGLESIDE,1200 Block of GIRARD ST,-122.4002983,37.71718084
18,5/10/2015 22:00,Sunday,NORTHERN,1900 Block of FILLMORE ST,-122.4336685,37.78770855
19,5/10/2015 22:00,Sunday,NORTHERN,GREEN ST / POLK ST,-122.4221496,37.79782438
20,5/10/2015 22:00,Sunday,NORTHERN,GREEN ST / POLK ST,-122.4221496,37.79782438
21,5/10/2015 22:00,Sunday,MISSION,15TH ST / FOLSOM ST,-122.4154644,37.76693703
22,5/10/2015 21:54,Sunday,CENTRAL,1800 Block of KEARNY ST,-122.4068206,37.80482829
23,5/10/2015 21:51,Sunday,INGLESIDE,200 Block of PEABODY ST,-122.4079225,37.70900404
24,5/10/2015 21:35,Sunday,NORTHERN,500 Block of HAIGHT ST,-122.43129,37.77205498
25,5/10/2015 21:30,Sunday,RICHMOND,200 Block of 11TH AV,-122.4699067,37.78361619
